id,comment,sentiment,topic,source,post_id,user_name
37,This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public.,negative,security,twitter,post_0037,user_0037
38,Such bravery and discipline deserve appreciation. I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable.,positive,media,youtube,post_0038,user_0038
39,The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,security,forum,post_0039,user_0039
40,Multiple viewpoints have emerged regarding the attack. This event could affect upcoming regional policies.,neutral,media,forum,post_0040,user_0040
41,I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable. Such bravery and discipline deserve appreciation. This response will boost public confidence in our security.,positive,public_reaction,youtube,post_0041,user_0041
42,This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events. The incident in Pahalgam has raised various questions.,neutral,public_reaction,twitter,post_0042,user_0042
43,Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,public_reaction,twitter,post_0043,user_0043
44,The response to the Pahalgam tragedy was poorly handled. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public.,negative,public_reaction,facebook,post_0044,user_0044
45,Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized.,negative,media,facebook,post_0045,user_0045
46,Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized.,negative,security,twitter,post_0046,user_0046
47,The response to the Pahalgam tragedy was poorly handled. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,public_reaction,facebook,post_0047,user_0047
48,The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized.,negative,public_reaction,twitter,post_0048,user_0048
49,This event could affect upcoming regional policies. This event could affect upcoming regional policies. This event could affect upcoming regional policies.,neutral,public_reaction,youtube,post_0049,user_0049
50,The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized. The lack of planning and care is disturbing.,negative,public_reaction,facebook,post_0050,user_0050
51,I feel proud of the way the forces handled the situation. This response will boost public confidence in our security. This response will boost public confidence in our security. The government's actions in Pahalgam are commendable.,positive,security,facebook,post_0051,user_0051
52,This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized.,negative,media,youtube,post_0052,user_0052
53,Such bravery and discipline deserve appreciation. I feel proud of the way the forces handled the situation.,positive,public_reaction,forum,post_0053,user_0053
54,Experts are still analyzing the sequence of events. Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,media,youtube,post_0054,user_0054
55,This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized.,negative,public_reaction,facebook,post_0055,user_0055
56,This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized.,negative,media,twitter,post_0056,user_0056
57,I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable. Such bravery and discipline deserve appreciation. This response will boost public confidence in our security.,positive,security,twitter,post_0057,user_0057
58,The lack of planning and care is disturbing. The lack of planning and care is disturbing.,negative,media,youtube,post_0058,user_0058
59,This has caused more fear than assurance among the public. The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled.,negative,media,facebook,post_0059,user_0059
60,Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation. I feel proud of the way the forces handled the situation. I feel proud of the way the forces handled the situation.,positive,security,forum,post_0060,user_0060
61,Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events. Experts are still analyzing the sequence of events.,neutral,public_reaction,facebook,post_0061,user_0061
62,This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,media,forum,post_0062,user_0062
63,Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,public_reaction,facebook,post_0063,user_0063
64,Experts are still analyzing the sequence of events. The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies.,neutral,security,forum,post_0064,user_0064
65,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public.,negative,security,twitter,post_0065,user_0065
66,This event could affect upcoming regional policies. Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,public_reaction,twitter,post_0066,user_0066
67,The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,media,youtube,post_0067,user_0067
68,This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled.,negative,security,twitter,post_0068,user_0068
69,The government's actions in Pahalgam are commendable. I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable.,positive,media,facebook,post_0069,user_0069
70,Multiple viewpoints have emerged regarding the attack. This event could affect upcoming regional policies. This event could affect upcoming regional policies.,neutral,media,facebook,post_0070,user_0070
71,The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions.,neutral,security,twitter,post_0071,user_0071
72,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized.,negative,public_reaction,youtube,post_0072,user_0072
73,The government's actions in Pahalgam are commendable. I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,public_reaction,facebook,post_0073,user_0073
74,The incident in Pahalgam has raised various questions. Experts are still analyzing the sequence of events. Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack.,neutral,public_reaction,facebook,post_0074,user_0074
75,Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,media,forum,post_0075,user_0075
76,This event could affect upcoming regional policies. The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions.,neutral,media,facebook,post_0076,user_0076
77,This response will boost public confidence in our security. This response will boost public confidence in our security.,positive,media,twitter,post_0077,user_0077
78,Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized. The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled.,negative,media,forum,post_0078,user_0078
79,I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation. I feel proud of the way the forces handled the situation.,positive,media,youtube,post_0079,user_0079
80,The lack of planning and care is disturbing. The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. The lack of planning and care is disturbing.,negative,security,youtube,post_0080,user_0080
81,Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable.,positive,security,youtube,post_0081,user_0081
82,This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,public_reaction,forum,post_0082,user_0082
83,This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public.,negative,security,youtube,post_0083,user_0083
84,The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled. The lack of planning and care is disturbing.,negative,security,facebook,post_0084,user_0084
85,The incident in Pahalgam has raised various questions. Experts are still analyzing the sequence of events.,neutral,public_reaction,forum,post_0085,user_0085
86,This event could affect upcoming regional policies. This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack.,neutral,media,twitter,post_0086,user_0086
87,The response to the Pahalgam tragedy was poorly handled. The response to the Pahalgam tragedy was poorly handled. The response to the Pahalgam tragedy was poorly handled.,negative,media,facebook,post_0087,user_0087
88,The government's actions in Pahalgam are commendable. This response will boost public confidence in our security. Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable.,positive,media,twitter,post_0088,user_0088
89,The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized.,negative,media,youtube,post_0089,user_0089
90,Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation.,positive,public_reaction,twitter,post_0090,user_0090
91,This response will boost public confidence in our security. This response will boost public confidence in our security. Such bravery and discipline deserve appreciation.,positive,security,forum,post_0091,user_0091
92,The lack of planning and care is disturbing. The lack of planning and care is disturbing. The lack of planning and care is disturbing. The lack of planning and care is disturbing.,negative,public_reaction,twitter,post_0092,user_0092
93,Authorities seemed unprepared and disorganized. The response to the Pahalgam tragedy was poorly handled. The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized.,negative,media,twitter,post_0093,user_0093
94,Experts are still analyzing the sequence of events. The incident in Pahalgam has raised various questions. Experts are still analyzing the sequence of events.,neutral,public_reaction,youtube,post_0094,user_0094
95,The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized.,negative,security,forum,post_0095,user_0095
96,I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,public_reaction,youtube,post_0096,user_0096
97,Such bravery and discipline deserve appreciation. This response will boost public confidence in our security.,positive,security,youtube,post_0097,user_0097
98,Experts are still analyzing the sequence of events. This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack.,neutral,security,youtube,post_0098,user_0098
99,This response will boost public confidence in our security. Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation.,positive,public_reaction,facebook,post_0099,user_0099
100,This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled. The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized.,negative,media,facebook,post_0100,user_0100
101,This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,public_reaction,youtube,post_0101,user_0101
102,Multiple viewpoints have emerged regarding the attack. This event could affect upcoming regional policies. This event could affect upcoming regional policies. Experts are still analyzing the sequence of events.,neutral,public_reaction,twitter,post_0102,user_0102
103,Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable.,positive,public_reaction,facebook,post_0103,user_0103
104,Multiple viewpoints have emerged regarding the attack. This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,public_reaction,forum,post_0104,user_0104
105,The incident in Pahalgam has raised various questions. Experts are still analyzing the sequence of events.,neutral,media,youtube,post_0105,user_0105
106,Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. The lack of planning and care is disturbing.,negative,media,facebook,post_0106,user_0106
107,The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions. Multiple viewpoints have emerged regarding the attack.,neutral,media,twitter,post_0107,user_0107
108,I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation.,positive,public_reaction,forum,post_0108,user_0108
109,Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable. I feel proud of the way the forces handled the situation. This response will boost public confidence in our security.,positive,security,twitter,post_0109,user_0109
110,Experts are still analyzing the sequence of events. Experts are still analyzing the sequence of events. The incident in Pahalgam has raised various questions.,neutral,security,forum,post_0110,user_0110
111,Such bravery and discipline deserve appreciation. This response will boost public confidence in our security. I feel proud of the way the forces handled the situation.,positive,public_reaction,forum,post_0111,user_0111
112,The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies. Experts are still analyzing the sequence of events. Experts are still analyzing the sequence of events.,neutral,security,youtube,post_0112,user_0112
113,The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies. This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack.,neutral,security,forum,post_0113,user_0113
114,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized.,negative,media,forum,post_0114,user_0114
115,This response will boost public confidence in our security. This response will boost public confidence in our security. Such bravery and discipline deserve appreciation. This response will boost public confidence in our security.,positive,public_reaction,facebook,post_0115,user_0115
116,I feel proud of the way the forces handled the situation. I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable.,positive,media,forum,post_0116,user_0116
117,Such bravery and discipline deserve appreciation. This response will boost public confidence in our security. This response will boost public confidence in our security. This response will boost public confidence in our security.,positive,media,forum,post_0117,user_0117
118,This response will boost public confidence in our security. This response will boost public confidence in our security. Such bravery and discipline deserve appreciation.,positive,media,youtube,post_0118,user_0118
119,Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies.,neutral,security,facebook,post_0119,user_0119
120,Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,security,youtube,post_0120,user_0120
121,Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions.,neutral,security,twitter,post_0121,user_0121
122,This has caused more fear than assurance among the public. The lack of planning and care is disturbing. The lack of planning and care is disturbing.,negative,public_reaction,twitter,post_0122,user_0122
123,The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,media,facebook,post_0123,user_0123
124,Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized.,negative,security,facebook,post_0124,user_0124
125,Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,media,facebook,post_0125,user_0125
126,This response will boost public confidence in our security. The government's actions in Pahalgam are commendable.,positive,security,twitter,post_0126,user_0126
127,The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,security,forum,post_0127,user_0127
128,This has caused more fear than assurance among the public. The lack of planning and care is disturbing. The lack of planning and care is disturbing.,negative,public_reaction,facebook,post_0128,user_0128
129,I feel proud of the way the forces handled the situation. This response will boost public confidence in our security. Such bravery and discipline deserve appreciation.,positive,security,forum,post_0129,user_0129
130,Multiple viewpoints have emerged regarding the attack. This event could affect upcoming regional policies.,neutral,security,forum,post_0130,user_0130
131,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,media,twitter,post_0131,user_0131
132,The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions. Multiple viewpoints have emerged regarding the attack.,neutral,security,twitter,post_0132,user_0132
133,The incident in Pahalgam has raised various questions. Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,media,forum,post_0133,user_0133
134,This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,public_reaction,twitter,post_0134,user_0134
135,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public.,negative,media,youtube,post_0135,user_0135
136,The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized. The lack of planning and care is disturbing. This has caused more fear than assurance among the public.,negative,media,facebook,post_0136,user_0136
137,Authorities seemed unprepared and disorganized. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public.,negative,media,twitter,post_0137,user_0137
138,The lack of planning and care is disturbing. The lack of planning and care is disturbing. The lack of planning and care is disturbing. This has caused more fear than assurance among the public.,negative,media,youtube,post_0138,user_0138
139,This response will boost public confidence in our security. I feel proud of the way the forces handled the situation.,positive,media,facebook,post_0139,user_0139
140,Experts are still analyzing the sequence of events. This event could affect upcoming regional policies. The incident in Pahalgam has raised various questions. Experts are still analyzing the sequence of events.,neutral,public_reaction,youtube,post_0140,user_0140
141,This response will boost public confidence in our security. I feel proud of the way the forces handled the situation.,positive,public_reaction,youtube,post_0141,user_0141
142,Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,media,forum,post_0142,user_0142
143,The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies.,neutral,security,facebook,post_0143,user_0143
144,I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable.,positive,public_reaction,forum,post_0144,user_0144
145,This event could affect upcoming regional policies. Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,security,youtube,post_0145,user_0145
146,I feel proud of the way the forces handled the situation. I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable.,positive,media,forum,post_0146,user_0146
147,I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation.,positive,security,facebook,post_0147,user_0147
148,The lack of planning and care is disturbing. This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled. The lack of planning and care is disturbing.,negative,security,forum,post_0148,user_0148
149,Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,public_reaction,twitter,post_0149,user_0149
150,This response will boost public confidence in our security. I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,security,forum,post_0150,user_0150
151,Multiple viewpoints have emerged regarding the attack. This event could affect upcoming regional policies.,neutral,media,youtube,post_0151,user_0151
152,Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public.,negative,public_reaction,twitter,post_0152,user_0152
153,I feel proud of the way the forces handled the situation. I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation.,positive,security,facebook,post_0153,user_0153
154,The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies.,neutral,public_reaction,youtube,post_0154,user_0154
155,This response will boost public confidence in our security. This response will boost public confidence in our security. Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation.,positive,media,twitter,post_0155,user_0155
156,The government's actions in Pahalgam are commendable. Such bravery and discipline deserve appreciation. I feel proud of the way the forces handled the situation. This response will boost public confidence in our security.,positive,security,twitter,post_0156,user_0156
157,Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation.,positive,security,facebook,post_0157,user_0157
158,This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,media,facebook,post_0158,user_0158
159,The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled.,negative,public_reaction,facebook,post_0159,user_0159
160,The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled. The lack of planning and care is disturbing. The lack of planning and care is disturbing.,negative,media,youtube,post_0160,user_0160
161,This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,security,twitter,post_0161,user_0161
162,Experts are still analyzing the sequence of events. This event could affect upcoming regional policies. The incident in Pahalgam has raised various questions.,neutral,media,youtube,post_0162,user_0162
163,The government's actions in Pahalgam are commendable. This response will boost public confidence in our security. This response will boost public confidence in our security.,positive,security,facebook,post_0163,user_0163
164,I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable.,positive,public_reaction,facebook,post_0164,user_0164
165,Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable. This response will boost public confidence in our security. This response will boost public confidence in our security.,positive,media,twitter,post_0165,user_0165
166,The government's actions in Pahalgam are commendable. Such bravery and discipline deserve appreciation.,positive,public_reaction,twitter,post_0166,user_0166
167,Multiple viewpoints have emerged regarding the attack. Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,security,twitter,post_0167,user_0167
168,Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation.,positive,media,facebook,post_0168,user_0168
169,Such bravery and discipline deserve appreciation. This response will boost public confidence in our security.,positive,security,facebook,post_0169,user_0169
170,The incident in Pahalgam has raised various questions. Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,media,youtube,post_0170,user_0170
171,Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions.,neutral,media,youtube,post_0171,user_0171
172,I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation. This response will boost public confidence in our security.,positive,media,twitter,post_0172,user_0172
173,Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,public_reaction,forum,post_0173,user_0173
174,The government's actions in Pahalgam are commendable. Such bravery and discipline deserve appreciation.,positive,media,youtube,post_0174,user_0174
175,The government's actions in Pahalgam are commendable. I feel proud of the way the forces handled the situation.,positive,public_reaction,twitter,post_0175,user_0175
176,The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled.,negative,public_reaction,facebook,post_0176,user_0176
177,The lack of planning and care is disturbing. The lack of planning and care is disturbing. The lack of planning and care is disturbing.,negative,media,twitter,post_0177,user_0177
178,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. The response to the Pahalgam tragedy was poorly handled.,negative,media,youtube,post_0178,user_0178
179,This response will boost public confidence in our security. I feel proud of the way the forces handled the situation.,positive,public_reaction,forum,post_0179,user_0179
180,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized.,negative,security,forum,post_0180,user_0180
181,Such bravery and discipline deserve appreciation. This response will boost public confidence in our security.,positive,security,youtube,post_0181,user_0181
182,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public.,negative,public_reaction,facebook,post_0182,user_0182
183,Multiple viewpoints have emerged regarding the attack. This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack.,neutral,security,forum,post_0183,user_0183
184,Experts are still analyzing the sequence of events. Multiple viewpoints have emerged regarding the attack.,neutral,public_reaction,forum,post_0184,user_0184
185,Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. This has caused more fear than assurance among the public.,negative,media,twitter,post_0185,user_0185
186,The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized. The lack of planning and care is disturbing.,negative,public_reaction,facebook,post_0186,user_0186
187,The lack of planning and care is disturbing. This has caused more fear than assurance among the public.,negative,public_reaction,forum,post_0187,user_0187
188,I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation.,positive,media,forum,post_0188,user_0188
